  920.0,    790,    6.0,   -7.0,     39,   2.47  
  906.1,    914,    4.9,   -8.1,     38,   2.30  
  883.0,   1124,    3.0,  -10.0,     38,   2.03  
  872.7,   1219,    4.9,  -10.1,     33,   2.04  
  868.0,   1263,    5.8,  -10.2,     31,   2.04  
  850.0,   1434,    4.4,  -10.6,     33,   2.02  
  840.6,   1524,    3.7,  -10.7,     34,   2.02  
  809.5,   1829,    1.3,  -11.0,     40,   2.06  
  806.0,   1864,    1.0,  -11.0,     40,   2.06  
  788.0,   2046,    3.2,  -12.8,     30,   1.82  
  779.4,   2134,    2.8,  -13.6,     29,   1.72  
  750.6,   2438,    1.6,  -16.4,     25,   1.42  
  722.6,   2743,    0.3,  -19.2,     21,   1.16  
  715.0,   2829,    0.0,  -20.0,     21,   1.10  
  700.0,   2998,   -1.3,  -19.3,     24,   1.19  
  644.1,   3658,   -4.5,  -20.0,     29,   1.22  
  634.0,   3783,   -5.1,  -20.1,     30,   1.23  
  595.7,   4267,   -8.9,  -21.2,     36,   1.19  
  566.0,   4665,  -12.1,  -22.1,     43,   1.16  
  550.5,   4877,  -12.7,  -23.6,     40,   1.04  
  516.0,   5371,  -14.1,  -27.1,     32,   0.81  
  500.0,   5610,  -16.3,  -27.3,     38,   0.82  
  468.3,   6096,  -20.1,  -33.8,     28,   0.47  
  454.0,   6326,  -21.9,  -36.9,     24,   0.36  
  415.0,   6977,  -27.9,  -38.9,     34,   0.32  
  400.0,   7240,  -30.1,  -42.1,     30,   0.24  
  378.5,   7620,  -33.2,  -44.9,     30,   0.19  
  303.3,   9144,  -45.9,  -56.0,     31,   0.06  
  300.0,   9220,  -46.5,  -56.5,     31,   0.06  
  250.0,  10400,  -57.1,  -65.1,     36,   0.02  
  239.4,  10668,  -59.3,  -67.3,     35,   0.02  
  239.0,  10679,  -59.3,  -67.3,     35,   0.02  
  219.0,  11220,  -63.7,  -71.7,     33,   0.01  
  206.3,  11582,  -65.4,  -72.8,     35,   0.01  
  200.0,  11770,  -66.3,  -73.3,     37,   0.01  
  182.0,  12339,  -68.7,  -75.7,     36,   0.01  
  177.0,  12506,  -68.1,  -75.1,     36,   0.01  
  171.0,  12717,  -61.7,  -69.7,     34,   0.02  
  160.6,  13106,  -61.5,  -69.5,     34,   0.02  
  150.0,  13530,  -61.3,  -69.3,     34,   0.02  
  113.7,  15240,  -63.1,  -71.1,     33,   0.02  
  103.0,  15850,  -63.7,  -71.7,     33,   0.02  
  100.0,  16030,  -63.9,  -71.9,     33,   0.02  
   98.0,  16154,  -64.4,  -72.4,     33,   0.02  
   96.8,  16229,  -64.7,  -72.7,     32,   0.02  
   76.5,  17678,  -60.0,  -68.9,     30,   0.05  
   74.5,  17844,  -59.5,  -68.5,     30,   0.05  
   70.0,  18230,  -62.3,  -71.3,     29,   0.04  
   63.8,  18797,  -66.1,  -74.1,     32,   0.03  
   62.7,  18898,  -66.1,  -74.1,     32,   0.03  
   59.8,  19189,  -66.1,  -74.1,     32,   0.03  
   57.9,  19386,  -62.3,  -71.3,     29,   0.04  
   56.8,  19507,  -61.7,  -70.7,     29,   0.05  
   51.1,  20163,  -58.3,  -67.3,     31,   0.09  
   50.0,  20300,  -58.5,  -67.5,     30,   0.09  
   46.7,  20726,  -58.8,  -67.8,     30,   0.09  
   42.4,  21336,  -59.3,  -68.3,     30,   0.09  
   40.2,  21662,  -59.5,  -68.5,     30,   0.09  
   37.6,  22083,  -54.7,  -64.7,     28,   0.17  
   30.0,  23520,  -55.1,  -66.1,     24,   0.18  
   20.7,  25890,  -55.3,  -66.3,     24,   0.25  
   20.0,  26110,  -53.7,  -64.7,     25,   0.32  
   16.3,  27432,  -52.2,  -64.4,     22,   0.41  
   15.5,  27737,  -51.9,  -64.3,     21,   0.43  
   14.2,  28346,  -51.2,  -64.1,     20,   0.49  
   14.0,  28413,  -51.1,  -64.1,     20,   0.49  
   12.3,  29261,  -51.7,  -64.7,     20,   0.52  
   10.2,  30480,  -52.6,  -65.6,     19,   0.55  
   10.0,  30590,  -52.7,  -65.7,     19,   0.56  
    9.9,  30655,  -52.5,  -65.5,     19,   0.58  
